"session","player","stage","step","round","time","timeup"
"room000036","882037588824222","instructions","instructions",1,530,0
"room000036","882037588824222","quiz","quiz",1,2037,0
"room000036","882037588824222","DD","DD",1,27004,0
"room000036","882037588824222","game","guess",1,10692,1
"room000036","882037588824222","game","results",1,5383,1
"room000036","882037588824222","game","guess",2,11193,1
"room000036","882037588824222","game","results",2,5866,1
"room000036","882037588824222","game","guess",3,11066,1
"room000036","882037588824222","game","results",3,5884,1
"room000036","882037588824222","game","guess",4,10518,1
"room000036","882037588824222","game","results",4,2749,1
